id,error,error_type,name,time,memory,username
1438," return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ sortingindex.c: In function ‘main’: sortingindex.c:11:32: comparison of constant ‘105’ with boolean expression is always true [-Wbool-compare] if(1&lt;=index&amp;&amp;index&lt;=Len&amp;&amp;1&lt;=Len&lt;=105&amp;&amp;1&lt;=N&lt;=50){ ^~ sortingindex.c:11:27: comparisons like ‘X&lt;=Y&lt;=Z’ do not have their mathematical meaning [-Wparentheses] if(1&lt;=index&amp;&amp;index&lt;=Len&amp;&amp;1&lt;=Len&lt;=105&amp;&amp;1&lt;=N&lt;=50){ ~^~~~~ sortingindex.c:11:43: comparison of constant ‘50’ with boolean expression is always true [-Wbool-compare] if(1&lt;=index&amp;&amp;index&lt;=Len&amp;&amp;1&lt;=Len&lt;=105&amp;&amp;1&lt;=N&lt;=50){ ^~ sortingindex.c:11:40: comparisons like ‘X&lt;=Y&lt;=Z’ do not have their mathematical meaning [-Wparentheses] if(1&lt;=index&amp;&amp;index&lt;=Len&amp;&amp;1&lt;=Len&lt;=105&amp;&amp;1&lt;=N&lt;=50){ ~^~~ sortingindex.c:5:1: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;N); ^~~~~~~~~~~~~~ sortingindex.c:8:1: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;Len,&amp;index); ^~~~~~~~~~~~~~~~~~~~~~~~~~ sortingindex.c:14:2: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;Arr[j]); ^~~~~~~~~~~~~~~~~~~ ",WA,C,0.02628472,780,U4CSE17258
1467," implicit declaration of function ‘qsort’ [-Wimplicit-function-declaration] qsort(a,n, sizeof(int), cmpfunc); ^~~~~ sortingindex.c:7:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ sortingindex.c:10:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ sortingindex.c:11:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;k); ^~~~~~~~~~~~~~ sortingindex.c:16:13: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a[i]); ^~~~~~~~~~~~~~~~~ ",WA,C,0.018991785,780,U4CSE17208
1476," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ sortingindex.c:8:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d%d"",&amp;n,&amp;k); ^~~~~~~~~~~~~~~~~~~ sortingindex.c:11:13: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a[j]); ^~~~~~~~~~~~~~~~~ ",WA,C,0.021340132999999997,780,U4CSE17212
1494," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ sortingindex.c:10:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;n,&amp;k); ^~~~~~~~~~~~~~~~~~~~ sortingindex.c:13:13: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a[i]); ^~~~~~~~~~~~~~~~~ ",WA,C,0.025046606000000003,780,U4CSE17262
1505," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ homework.c:64:22: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] for(i=0;i&lt;n;i++) scanf(""%d"",&amp;a[i]); ^~~~~~~~~~~~~~~~~ ",WA,C,0.024323215,780,U4CSE17262
1506," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ sortingindex.c:8:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d%d"",&amp;n,&amp;k); ^~~~~~~~~~~~~~~~~~~ sortingindex.c:11:13: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a[j]); ^~~~~~~~~~~~~~~~~ ",WA,C,0.01905253,780,U4CSE17212
1510," unused variable ‘g’ [-Wunused-variable] int i,n,t,k,f,p,g; ^ sortingindex.c:65:2: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ sortingindex.c:69:2: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d%d"",&amp;n,&amp;k); ^~~~~~~~~~~~~~~~~~~ sortingindex.c:72:3: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a[i]); ^~~~~~~~~~~~~~~~~ ",WA,C,0.020120528000000002,780,U4CSE17243
1518," unused variable ‘i’ [-Wunused-variable] int n,input,a[101],i,temp,j,k,count; ^ homework.c:5:11: unused variable ‘input’ [-Wunused-variable] int n,input,a[101],i,temp,j,k,count; ^~~~~ homework.c:8:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ homework.c:12:13: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a[j]); ^~~~~~~~~~~~~~~~~ ",WA,C,0.029013578999999998,780,U4CSE17208
1519," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ sortingindex.c:87:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;n,&amp;k); ^~~~~~~~~~~~~~~~~~~~ sortingindex.c:91:13: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;arr[i]); ^~~~~~~~~~~~~~~~~~~ ",WA,C,0.019350233,780,U4CSE17344
1520," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ sortingindex.c:87:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;n,&amp;k); ^~~~~~~~~~~~~~~~~~~~ sortingindex.c:91:13: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;arr[i]); ^~~~~~~~~~~~~~~~~~~ ",WA,C,0.018095392,780,U4CSE17344
